area,aar,hy,n_samples,sopcorr,n0,n1,n2,n3,n4,mw0,mw1,mw2,mw3,mw4,ton
NA,2003,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2004,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2005,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2006,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2007,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2008,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2009,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2010,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2011,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2012,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2013,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2014,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2015,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2016,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2017,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2018,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2019,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2020,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2021,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1983,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1984,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1985,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1986,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1987,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1988,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1989,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1990,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1991,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1992,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
